trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.9025, 'e': 4.9356293115964494e-08}",20,13,13.159951982733105,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9025, 'e': 4.4544054537157957e-08}",20,9,16.870832235573946,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.9025, 'e': 4.0201009219785055e-08}",30,17,20.515754275854476,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9025, 'e': 3.628141082085601e-08}",20,5,25.509483529124935,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.9025, 'e': 3.274397326582255e-08}",30,8,39.595008930951664,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.9025, 'e': 2.9551435872404847e-08}",25,15,17.71312539890386,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.9025, 'e': 2.6670170874845375e-08}",20,6,24.246891843434426,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.9025, 'e': 2.4069829214547948e-08}",25,14,22.229532523428325,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.9025, 'e': 2.1723020866129522e-08}",30,20,19.251115075528034,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.9025, 'e': 1.9605026331681894e-08}",25,10,23.931154090725222,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.9025, 'e': 1.769353626434291e-08}",20,15,8.488623241947757,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.9025, 'e': 1.5968416478569474e-08}",25,14,15.913558526863074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.9025, 'e': 1.441149587190895e-08}",25,15,15.3818411893418,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.9025, 'e': 1.3006375024397827e-08}",35,17,27.923870115031157,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.9025, 'e': 1.1738253459519038e-08}",25,17,16.89050324276341,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.9025, 'e': 1.0593773747215932e-08}",30,9,36.68339146465426,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.9025, 'e': 9.560880806862378e-09}",25,11,27.900782157634836,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.9025, 'e': 8.628694928193296e-09}",20,3,30.031836552637454,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.9025, 'e': 7.78739717269445e-09}",25,7,30.90457429725382,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.9025, 'e': 7.028125948356741e-09}",25,3,37.32249057567432,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.9025, 'e': 6.342883668391958e-09}",20,7,23.63715743992754,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.9025, 'e': 5.724452510723742e-09}",25,11,21.854613292637982,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
